StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2022-08-01,Australian Capital Territory,Text message,18 - 24,Male,Attempts to gain your personal information,Phishing,$227.00,3
2022-08-01,Australian Capital Territory,Text message,18 - 24,Female,Attempts to gain your personal information,Phishing,$898.00,2
2022-07-01,Northern Territory,Text message,45 - 54,Female,Attempts to gain your personal information,Phishing,$15900.00,2
2022-07-01,Australian Capital Territory,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,$20000.00,2
2022-07-01,Western Australia,Phone call,18 - 24,Male,Attempts to gain your personal information,Phishing,$10000.00,3
2022-07-01,New South Wales,Mobile apps,Unspecified,Female,Attempts to gain your personal information,Phishing,$5705.00,4
2022-07-01,New South Wales,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$40813.00,10
2022-08-01,New South Wales,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$32077.00,15
2022-09-01,New South Wales,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$59230.00,5
2022-07-01,New South Wales,Mobile apps,45 - 54,Female,Attempts to gain your personal information,Phishing,$36167.00,6
2022-08-01,New South Wales,Mobile apps,45 - 54,Female,Attempts to gain your personal information,Phishing,$4782.00,3
2022-07-01,New South Wales,Mobile apps,45 - 54,Male,Attempts to gain your personal information,Phishing,$25000.00,5
2022-07-01,New South Wales,Mobile apps,Unspecified,Male,Attempts to gain your personal information,Phishing,$7002.00,3
2022-07-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$36406.00,8
2022-08-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$19350.00,7
2022-09-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$8500.00,7
2022-07-01,New South Wales,Internet,18 - 24,Female,Attempts to gain your personal information,Phishing,$99.00,2
2022-09-01,New South Wales,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$150.00,4
2022-07-01,New South Wales,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$919.00,3
2022-07-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$20000.00,3
2022-09-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$2000.00,5
2022-07-01,New South Wales,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Phishing,$3.00,2
2022-07-01,New South Wales,Social media/Online forums,65 and over,Female,Attempts to gain your personal information,Phishing,$13575.00,4
2022-08-01,New South Wales,Social media/Online forums,55 - 64,Female,Attempts to gain your personal information,Phishing,$9800.00,2
2022-09-01,New South Wales,Social media/Online forums,65 and over,Female,Attempts to gain your personal information,Phishing,$9926.00,3
2022-09-01,New South Wales,Social media/Online forums,18 - 24,Male,Attempts to gain your personal information,Phishing,$950.00,2
