StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2023-09-01,New South Wales,Text message,Under 18,Female,Attempts to gain your personal information,Phishing,$1.00,5
2023-08-01,New South Wales,Text message,Under 18,Male,Attempts to gain your personal information,Phishing,$4020.00,3
2023-08-01,Australian Capital Territory,Text message,18 - 24,Female,Attempts to gain your personal information,Phishing,$1.00,6
2023-07-01,Tasmania,Text message,25 - 34,Male,Attempts to gain your personal information,Phishing,$550.00,6
2023-08-01,South Australia,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,$26300.00,2
2023-08-01,Australian Capital Territory,Email,35 - 44,Male,Attempts to gain your personal information,Phishing,$100.00,5
2023-08-01,Outside of Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,$50.00,2
2023-08-01,South Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,$813.00,3
2023-07-01,Australian Capital Territory,Email,25 - 34,Female,Attempts to gain your personal information,Phishing,$5500.00,2
2023-09-01,New South Wales,Mobile apps,25 - 34,Female,Attempts to gain your personal information,Phishing,$520.00,2
2023-07-01,New South Wales,Mobile apps,55 - 64,Male,Attempts to gain your personal information,Phishing,$4400.00,4
2023-09-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Phishing,$315.00,2
2023-08-01,New South Wales,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$30.00,3
2023-08-01,New South Wales,Internet,55 - 64,Female,Attempts to gain your personal information,Phishing,$80.00,2
2023-09-01,New South Wales,Internet,35 - 44,Female,Attempts to gain your personal information,Phishing,$1000.00,2
2023-09-01,New South Wales,Internet,55 - 64,Female,Attempts to gain your personal information,Phishing,$99.00,2
2023-08-01,New South Wales,Internet,Unspecified,Female,Attempts to gain your personal information,Phishing,$119.00,2
2023-09-01,New South Wales,Internet,Unspecified,Female,Attempts to gain your personal information,Phishing,$145.00,2
2023-07-01,New South Wales,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$12600.00,4
2023-07-01,New South Wales,Internet,18 - 24,Male,Attempts to gain your personal information,Phishing,$165.00,2
