StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2022-11-01,Queensland,Text message,25 - 34,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,$900.00,4
2022-11-01,South Australia,Text message,Unspecified,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,$5311.00,2
2022-12-01,Australian Capital Territory,Text message,18 - 24,Male,Attempts to gain your personal information,Phishing,$255.00,6
2022-12-01,Tasmania,Text message,25 - 34,Male,Attempts to gain your personal information,Phishing,$3540.00,5
2022-11-01,Tasmania,Text message,35 - 44,Male,Attempts to gain your personal information,Phishing,$341.00,6
2022-10-01,Northern Territory,Text message,55 - 64,Female,Attempts to gain your personal information,Phishing,$4310.00,6
2022-11-01,Northern Territory,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,$28000.00,3
2022-10-01,Outside of Australia,Text message,45 - 54,Male,Attempts to gain your personal information,Phishing,$50.00,2
2022-11-01,Australian Capital Territory,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,$16920.00,3
2022-11-01,Tasmania,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,$950.00,3
2022-10-01,South Australia,Email,25 - 34,Female,Attempts to gain your personal information,Phishing,$3.00,4
2022-10-01,Western Australia,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$1130.00,2
2022-12-01,Queensland,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$4000.00,3
2022-12-01,Queensland,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$600.00,3
2022-10-01,Outside of Australia,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$200.00,2
2022-11-01,Tasmania,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$716.00,2
2022-10-01,New South Wales,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$32655.00,14
2022-11-01,New South Wales,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$5000.00,5
2022-10-01,New South Wales,Mobile apps,45 - 54,Female,Attempts to gain your personal information,Phishing,$4700.00,4
2022-11-01,New South Wales,Mobile apps,35 - 44,Female,Attempts to gain your personal information,Phishing,$7800.00,4
2022-11-01,New South Wales,Mobile apps,45 - 54,Female,Attempts to gain your personal information,Phishing,$14821.00,3
2022-12-01,New South Wales,Mobile apps,35 - 44,Female,Attempts to gain your personal information,Phishing,$1000.00,3
2022-12-01,New South Wales,Mobile apps,Unspecified,Male,Attempts to gain your personal information,Phishing,$6150.00,5
2022-10-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Phishing,$6176.00,8
2022-12-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Phishing,$10000.00,3
