StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2022-04-01,Queensland,Text message,Under 18,Female,Attempts to gain your personal information,Phishing,$3886.00,2
2022-05-01,Queensland,Text message,Under 18,Female,Attempts to gain your personal information,Phishing,$5794.00,3
2022-03-01,Northern Territory,Phone call,55 - 64,Female,Attempts to gain your personal information,Phishing,$500.00,3
2022-04-01,Northern Territory,Phone call,55 - 64,Female,Attempts to gain your personal information,Phishing,$4990.00,2
2022-05-01,Tasmania,Phone call,25 - 34,Male,Attempts to gain your personal information,Phishing,$19990.00,2
2022-01-01,Tasmania,Phone call,55 - 64,Female,Attempts to gain your personal information,Phishing,$500.00,4
2022-03-01,South Australia,Phone call,65 and over,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,$4987.00,2
2022-05-01,South Australia,Phone call,18 - 24,Male,Attempts to gain your personal information,Phishing,$4500.00,2
2022-04-01,Western Australia,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,$500.00,4
2022-01-01,Australian Capital Territory,Email,35 - 44,Female,Attempts to gain your personal information,Phishing,$448.00,2
2022-01-01,Western Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,$600.00,3
2022-02-01,South Australia,Email,25 - 34,Female,Attempts to gain your personal information,Phishing,$500.00,3
2022-03-01,Victoria,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$2019.00,3
2022-05-01,Western Australia,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$3728.00,2
2022-03-01,South Australia,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$1000.00,2
2022-04-01,Outside of Australia,Email,65 and over,Female,Attempts to gain your personal information,Phishing,$80.00,2
2022-04-01,New South Wales,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$37000.00,2
2022-06-01,New South Wales,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$49318.00,11
2022-01-01,New South Wales,Mobile apps,35 - 44,Female,Attempts to gain your personal information,Phishing,$5500.00,4
2022-03-01,New South Wales,Mobile apps,18 - 24,Female,Attempts to gain your personal information,Phishing,$3000.00,2
2022-04-01,New South Wales,Mobile apps,45 - 54,Female,Attempts to gain your personal information,Phishing,$1200.00,2
2022-05-01,New South Wales,Mobile apps,45 - 54,Female,Attempts to gain your personal information,Phishing,$3000.00,3
2022-03-01,New South Wales,Mobile apps,45 - 54,Male,Attempts to gain your personal information,Phishing,$300.00,5
2022-06-01,New South Wales,Mobile apps,55 - 64,Male,Attempts to gain your personal information,Phishing,$21007.00,2
2022-06-01,New South Wales,Mobile apps,Unspecified,Male,Attempts to gain your personal information,Phishing,$1000.00,3
2022-02-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Phishing,$2500.00,5
2022-06-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Phishing,$4719.00,5
2022-06-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$6970.00,5
