StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2023-12-01,Queensland,Text message,Under 18,Male,Attempts to gain your personal information,Phishing,$2942.00,2
2023-10-01,Northern Territory,Phone call,25 - 34,Female,Attempts to gain your personal information,Phishing,$14000.00,2
2023-10-01,Western Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,$8500.00,4
2023-11-01,South Australia,Email,25 - 34,Female,Attempts to gain your personal information,Phishing,$5980.00,6
2023-12-01,Queensland,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$5050.00,2
2023-10-01,New South Wales,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Phishing,$12000.00,3
2023-10-01,New South Wales,Internet,45 - 54,Male,Attempts to gain your personal information,Phishing,$173.00,2
2023-10-01,New South Wales,Internet,25 - 34,Male,Attempts to gain your personal information,Phishing,$500.00,3
2023-11-01,New South Wales,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$291.00,4
2023-10-01,New South Wales,Social media/Online forums,45 - 54,Female,Attempts to gain your personal information,Phishing,$100.00,2
2023-10-01,New South Wales,Social media/Online forums,55 - 64,Male,Attempts to gain your personal information,Phishing,$3500.00,6
2023-12-01,New South Wales,Social media/Online forums,55 - 64,Male,Attempts to gain your personal information,Phishing,$47000.00,2
2023-10-01,New South Wales,In person,55 - 64,Female,Attempts to gain your personal information,Phishing,$548.00,3
2023-12-01,Victoria,Social media/Online forums,45 - 54,Male,Attempts to gain your personal information,Phishing,$555.00,2
2023-12-01,Victoria,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Phishing,$62000.00,2
2023-10-01,Victoria,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Phishing,$100.00,4
2023-11-01,Victoria,Internet,Unspecified,Female,Attempts to gain your personal information,Phishing,$1036.00,2
2023-12-01,Victoria,Internet,25 - 34,Male,Attempts to gain your personal information,Phishing,$150000.00,2
2023-10-01,Victoria,Mobile apps,Unspecified,Female,Attempts to gain your personal information,Phishing,$1333.00,3
2023-11-01,Victoria,Mobile apps,35 - 44,Female,Attempts to gain your personal information,Phishing,$1524.00,3
2023-10-01,Queensland,Internet,55 - 64,Female,Attempts to gain your personal information,Phishing,$30000.00,4
2023-10-01,Queensland,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$85.00,2
2023-10-01,Queensland,Internet,25 - 34,Male,Attempts to gain your personal information,Phishing,$50000.00,2
2023-11-01,Queensland,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$81.00,3
2023-11-01,Queensland,Internet,25 - 34,Male,Attempts to gain your personal information,Phishing,$123.00,2
2023-11-01,Queensland,Internet,Unspecified,Male,Attempts to gain your personal information,Phishing,$25400.00,3
2023-11-01,Queensland,Internet,55 - 64,Male,Attempts to gain your personal information,Phishing,$2057.00,3
2023-12-01,Queensland,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$1010.00,2
2023-12-01,Queensland,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$148.00,2
2023-11-01,Queensland,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Phishing,$1620.00,2
2023-12-01,Queensland,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$612.00,2
2023-12-01,Queensland,Social media/Online forums,45 - 54,Male,Attempts to gain your personal information,Phishing,$250.00,2
2023-12-01,Queensland,Social media/Online forums,55 - 64,Male,Attempts to gain your personal information,Phishing,$106.00,2
2023-11-01,Western Australia,Internet,45 - 54,Female,Attempts to gain your personal information,Phishing,$1.00,2
2023-12-01,Western Australia,Mobile apps,Unspecified,Male,Attempts to gain your personal information,Phishing,$640.00,2
2023-10-01,South Australia,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$1000.00,2
2023-11-01,South Australia,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Phishing,$85.00,2
2023-11-01,South Australia,Internet,35 - 44,Female,Attempts to gain your personal information,Phishing,$107.00,2
2023-11-01,Victoria,In person,25 - 34,Female,Attempts to gain your personal information,Identity theft,$250.00,3
2023-12-01,New South Wales,In person,35 - 44,Male,Attempts to gain your personal information,Identity theft,$700.00,3
2023-10-01,New South Wales,Mail,65 and over,Female,Attempts to gain your personal information,Identity theft,$998.00,2
2023-12-01,Victoria,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Identity theft,$5000.00,2
2023-10-01,Queensland,Mobile apps,55 - 64,Male,Attempts to gain your personal information,Identity theft,$2500.00,2
2023-11-01,New South Wales,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Identity theft,$6000.00,2
2023-12-01,New South Wales,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Identity theft,$770.00,2
2023-10-01,Queensland,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Identity theft,$150.00,2
2023-12-01,Queensland,Social media/Online forums,18 - 24,Female,Attempts to gain your personal information,Identity theft,$3300.00,2
2023-11-01,Queensland,Social media/Online forums,55 - 64,Male,Attempts to gain your personal information,Identity theft,$200.00,3
2023-11-01,Western Australia,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Identity theft,$145.00,2
2023-10-01,Outside of Australia,Social media/Online forums,25 - 34,Male,Attempts to gain your personal information,Identity theft,$11288.00,2
2023-11-01,Victoria,Social media/Online forums,55 - 64,Female,Attempts to gain your personal information,Identity theft,$300.00,3
2023-11-01,New South Wales,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Identity theft,$3063.00,4
2023-12-01,New South Wales,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Identity theft,$3850.00,2
2023-10-01,Victoria,Internet,25 - 34,Male,Attempts to gain your personal information,Identity theft,$581.00,3
2023-11-01,Victoria,Internet,18 - 24,Male,Attempts to gain your personal information,Identity theft,$119.00,2
2023-11-01,Victoria,Internet,65 and over,Male,Attempts to gain your personal information,Identity theft,$2000.00,2
2023-10-01,Victoria,Internet,35 - 44,Female,Attempts to gain your personal information,Identity theft,$1276.00,5
2023-10-01,Victoria,Internet,65 and over,Female,Attempts to gain your personal information,Identity theft,$12000.00,3
2023-10-01,Victoria,Internet,45 - 54,Female,Attempts to gain your personal information,Identity theft,$6000.00,2
2023-10-01,Victoria,Internet,55 - 64,Female,Attempts to gain your personal information,Identity theft,$500.00,2
2023-10-01,Victoria,Internet,Unspecified,Female,Attempts to gain your personal information,Identity theft,$131.00,2
2023-11-01,Victoria,Internet,Unspecified,Female,Attempts to gain your personal information,Identity theft,$12000.00,2
2023-12-01,Victoria,Internet,18 - 24,Female,Attempts to gain your personal information,Identity theft,$85.00,2
2023-10-01,Queensland,Internet,65 and over,Female,Attempts to gain your personal information,Identity theft,$70.00,3
2023-11-01,Queensland,Internet,55 - 64,Female,Attempts to gain your personal information,Identity theft,$6598.00,2
2023-11-01,Western Australia,Internet,45 - 54,Male,Attempts to gain your personal information,Identity theft,$85.00,2
2023-11-01,New South Wales,Internet,25 - 34,Male,Attempts to gain your personal information,Identity theft,$1100.00,4
2023-11-01,New South Wales,Internet,35 - 44,Male,Attempts to gain your personal information,Identity theft,$22381.00,2
2023-11-01,New South Wales,Internet,18 - 24,Male,Attempts to gain your personal information,Identity theft,$691.00,2
2023-10-01,New South Wales,Internet,18 - 24,Female,Attempts to gain your personal information,Identity theft,$148.00,3
2023-12-01,New South Wales,Internet,18 - 24,Female,Attempts to gain your personal information,Identity theft,$1021.00,2
2023-10-01,New South Wales,Internet,35 - 44,Female,Attempts to gain your personal information,Identity theft,$10000.00,2
2023-11-01,New South Wales,Internet,35 - 44,Female,Attempts to gain your personal information,Identity theft,$2857.00,2
2023-10-01,New South Wales,Internet,Unspecified,Female,Attempts to gain your personal information,Identity theft,$339.00,2
2023-11-01,New South Wales,Internet,Unspecified,Female,Attempts to gain your personal information,Identity theft,$1741.00,3
2023-12-01,New South Wales,Internet,Unspecified,Female,Attempts to gain your personal information,Identity theft,$1884.00,7
2023-10-01,New South Wales,Internet,25 - 34,Female,Attempts to gain your personal information,Identity theft,$71.00,2
2023-12-01,New South Wales,Internet,25 - 34,Female,Attempts to gain your personal information,Identity theft,$15143.00,5
2023-11-01,New South Wales,Internet,45 - 54,Female,Attempts to gain your personal information,Identity theft,$4000.00,6
2023-12-01,New South Wales,Internet,45 - 54,Female,Attempts to gain your personal information,Identity theft,$7705.00,4
2023-11-01,Tasmania,Email,35 - 44,Female,Attempts to gain your personal information,Identity theft,$650.00,2
2023-10-01,Western Australia,Email,35 - 44,Female,Attempts to gain your personal information,Identity theft,$200.00,4
2023-11-01,Western Australia,Email,35 - 44,Female,Attempts to gain your personal information,Identity theft,$40.00,4
2023-12-01,Queensland,Email,25 - 34,Male,Attempts to gain your personal information,Identity theft,$11000.00,2
2023-11-01,New South Wales,Email,18 - 24,Male,Attempts to gain your personal information,Identity theft,$5700.00,2
2023-12-01,New South Wales,Email,18 - 24,Female,Attempts to gain your personal information,Identity theft,$1400.00,2
2023-10-01,Western Australia,Text message,25 - 34,Male,Attempts to gain your personal information,Identity theft,$1700.00,2
2023-10-01,South Australia,Text message,55 - 64,Female,Attempts to gain your personal information,Identity theft,$1800.00,3
2023-10-01,South Australia,Text message,35 - 44,Female,Attempts to gain your personal information,Identity theft,$300.00,3
2023-10-01,South Australia,Text message,65 and over,Male,Attempts to gain your personal information,Identity theft,$1150.00,3
2023-10-01,Tasmania,Text message,55 - 64,Male,Attempts to gain your personal information,Identity theft,$1950.00,3
2023-10-01,Outside of Australia,Text message,25 - 34,Female,Attempts to gain your personal information,Identity theft,$300.00,2
2023-12-01,Victoria,Email,Under 18,Male,Attempts to gain your personal information,Hacking,$1.00,2
2023-11-01,Victoria,Internet,55 - 64,Female,Attempts to gain your personal information,Hacking,$900.00,2
2023-11-01,Victoria,Internet,65 and over,Male,Attempts to gain your personal information,Hacking,$990.00,3
2023-12-01,Victoria,Social media/Online forums,45 - 54,Female,Attempts to gain your personal information,Hacking,$152.00,2
2023-11-01,Victoria,Mobile apps,35 - 44,Female,Attempts to gain your personal information,Hacking,$5.00,2
2023-10-01,Queensland,Social media/Online forums,45 - 54,Female,Attempts to gain your personal information,Hacking,$334.00,3
2023-10-01,Queensland,Internet,35 - 44,Female,Attempts to gain your personal information,Hacking,$128.00,2
2023-11-01,Queensland,Internet,65 and over,Female,Attempts to gain your personal information,Hacking,$49.00,2
2023-10-01,Queensland,Phone call,25 - 34,Male,Attempts to gain your personal information,Hacking,$2170.00,2
2023-11-01,South Australia,Phone call,55 - 64,Female,Attempts to gain your personal information,Hacking,$820.00,2
2023-10-01,Outside of Australia,Social media/Online forums,18 - 24,Female,Attempts to gain your personal information,Hacking,$534.00,2
2023-10-01,New South Wales,Mobile apps,18 - 24,Male,Attempts to gain your personal information,Hacking,$300.00,3
2023-12-01,New South Wales,Social media/Online forums,18 - 24,Female,Attempts to gain your personal information,Hacking,$500.00,2
2023-12-01,New South Wales,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Hacking,$10.00,4
2023-10-01,New South Wales,Internet,35 - 44,Male,Attempts to gain your personal information,Hacking,$52.00,5
2023-10-01,New South Wales,Internet,65 and over,Female,Attempts to gain your personal information,Hacking,$700.00,3
2023-11-01,New South Wales,Internet,65 and over,Female,Attempts to gain your personal information,Hacking,$770.00,5
2023-12-01,New South Wales,Text message,35 - 44,Female,Attempts to gain your personal information,Remote access scams,$339.00,2
2023-10-01,Tasmania,Email,65 and over,Female,Attempts to gain your personal information,Remote access scams,$6000.00,2
2023-10-01,Western Australia,Email,55 - 64,Female,Attempts to gain your personal information,Remote access scams,$3000.00,3
2023-11-01,South Australia,Email,65 and over,Female,Attempts to gain your personal information,Remote access scams,$8600.00,3
