StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2024-07-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,$0.00,80
2024-08-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,$1384.00,60
2024-09-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,$0.00,84
2024-10-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,$3249.00,81
2024-11-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,$986.99,28
2024-12-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,$2.99,28
2024-07-01,New South Wales,Email,65 and over,Male,Buying or selling,False billing,$1300.00,78
2024-08-01,New South Wales,Email,65 and over,Male,Buying or selling,False billing,$24300.00,45
2024-09-01,New South Wales,Email,65 and over,Male,Buying or selling,False billing,$3000.00,58
2024-10-01,New South Wales,Email,65 and over,Male,Buying or selling,False billing,$0.00,25
2024-11-01,New South Wales,Email,65 and over,Male,Buying or selling,False billing,$323100.00,27
2024-12-01,New South Wales,Email,65 and over,Male,Buying or selling,False billing,$10784.00,36
2024-07-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,$150.00,52
2024-08-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,$90.00,54
2024-09-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,$1006.08,63
2024-10-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,$1000.00,54
2024-11-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,$111.68,28
2024-12-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,$0.00,24
2024-07-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,$19698.00,16
2024-08-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,13
2024-09-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,$3914.00,9
2024-10-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,$7198.00,10
2024-11-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,$9571.19,9
2024-12-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,$3.00,13
2024-07-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$15557.58,16
2024-08-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,9
2024-09-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$111.36,7
2024-10-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,10
2024-11-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,9
2024-12-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$255.00,6
2024-07-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,7
2024-07-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$0.00,14
2024-07-01,Outside of Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,1
2024-08-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$1000.00,6
2024-08-01,Northern Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,1
2024-08-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$0.00,3
2024-09-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,6
2024-09-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$0.00,2
2024-10-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,1
2024-10-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$0.00,2
2024-11-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,3
2024-11-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$0.00,3
2024-11-01,Northern Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,1
2024-11-01,Outside of Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,1
2024-12-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$0.00,6
2024-12-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,5
2024-07-01,Australian Capital Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,6
2024-07-01,Tasmania,Email,65 and over,Female,Buying or selling,False billing,$0.00,8
2024-07-01,Northern Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,1
2024-07-01,Outside of Australia,Email,65 and over,Female,Buying or selling,False billing,$0.00,1
2024-08-01,Australian Capital Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,5
2024-08-01,Northern Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,5
2024-08-01,Tasmania,Email,65 and over,Female,Buying or selling,False billing,$19192.47,6
2024-08-01,Outside of Australia,Email,65 and over,Female,Buying or selling,False billing,$0.00,2
2024-09-01,Tasmania,Email,65 and over,Female,Buying or selling,False billing,$0.00,5
2024-09-01,Northern Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,5
2024-09-01,Australian Capital Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,5
2024-10-01,Tasmania,Email,65 and over,Female,Buying or selling,False billing,$0.00,2
2024-11-01,Tasmania,Email,65 and over,Female,Buying or selling,False billing,$0.00,4
2024-11-01,Australian Capital Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,1
2024-11-01,Northern Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,2
2024-12-01,Northern Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,10
2024-12-01,Tasmania,Email,65 and over,Female,Buying or selling,False billing,$0.00,3
2024-07-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$1.48,9
2024-08-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$0.00,15
