StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2024-01-01,South Australia,Text message,Under 18,Female,Attempts to gain your personal information,Phishing,$3.50,2
2024-03-01,Australian Capital Territory,Text message,18 - 24,Female,Attempts to gain your personal information,Phishing,$7197.00,2
2024-05-01,Unspecified,Text message,Unspecified,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,$4609.19,907
2024-03-01,Outside of Australia,Phone call,Unspecified,Male,Attempts to gain your personal information,Phishing,$6692.26,2
2024-02-01,Northern Territory,Phone call,45 - 54,Female,Attempts to gain your personal information,Phishing,$450.00,3
2024-05-01,Australian Capital Territory,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,$70000.00,2
2024-06-01,Australian Capital Territory,Email,35 - 44,Female,Attempts to gain your personal information,Phishing,$24688.00,5
2024-01-01,Tasmania,Email,35 - 44,Female,Attempts to gain your personal information,Phishing,$385.00,2
2024-01-01,Western Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,$119.00,4
2024-01-01,Victoria,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$1400.00,2
2024-03-01,Victoria,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$600.00,5
2024-06-01,Victoria,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$600.00,2
2024-01-01,Western Australia,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$830.00,2
2024-03-01,Western Australia,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$500.00,3
2024-05-01,Queensland,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$500.00,4
2024-05-01,South Australia,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$13544.37,3
2024-01-01,Australian Capital Territory,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$10000.00,2
2024-01-01,Tasmania,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,$3995.00,5
2024-04-01,Outside of Australia,Email,Unspecified,Male,Attempts to gain your personal information,Phishing,$7.99,2
2024-06-01,Outside of Australia,Email,Unspecified,Female,Attempts to gain your personal information,Phishing,$188.00,2
2024-01-01,New South Wales,Mobile apps,Unspecified,Female,Attempts to gain your personal information,Phishing,$3313.00,4
2024-01-01,New South Wales,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Phishing,$12500.00,5
2024-03-01,New South Wales,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Phishing,$3491.70,3
2024-06-01,New South Wales,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Phishing,$436.94,11
2024-06-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$1.00,2
2024-01-01,New South Wales,Internet,25 - 34,Female,Attempts to gain your personal information,Phishing,$145.00,2
2024-03-01,New South Wales,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$340.00,2
2024-02-01,New South Wales,Internet,Unspecified,Female,Attempts to gain your personal information,Phishing,$42.47,2
2024-04-01,New South Wales,Internet,Unspecified,Female,Attempts to gain your personal information,Phishing,$152.00,3
2024-01-01,New South Wales,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$3846.00,3
2024-02-01,New South Wales,Internet,Unspecified,Male,Attempts to gain your personal information,Phishing,$15000.00,2
2024-01-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$351.00,2
2024-01-01,New South Wales,Social media/Online forums,45 - 54,Female,Attempts to gain your personal information,Phishing,$4216.00,2
2024-04-01,New South Wales,Social media/Online forums,18 - 24,Female,Attempts to gain your personal information,Phishing,$50.00,2
2024-06-01,Victoria,Mail,Unspecified,Female,Attempts to gain your personal information,Phishing,$200.00,2
2024-01-01,Victoria,Social media/Online forums,45 - 54,Male,Attempts to gain your personal information,Phishing,$1200.00,2
2024-04-01,Victoria,Social media/Online forums,65 and over,Male,Attempts to gain your personal information,Phishing,$9000.00,2
2024-06-01,Victoria,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Phishing,$34206.00,3
2024-02-01,Victoria,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$200.00,2
2024-04-01,Victoria,Internet,Unspecified,Female,Attempts to gain your personal information,Phishing,$2161.10,3
2024-06-01,Victoria,Internet,55 - 64,Female,Attempts to gain your personal information,Phishing,$1000.00,2
2024-06-01,Victoria,Internet,Unspecified,Female,Attempts to gain your personal information,Phishing,$840.00,2
2024-01-01,Victoria,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$2225.00,3
2024-04-01,Victoria,Internet,45 - 54,Male,Attempts to gain your personal information,Phishing,$63.92,2
2024-03-01,Victoria,Internet,Unspecified,Male,Attempts to gain your personal information,Phishing,$9000.00,3
2024-01-01,Queensland,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$30000.00,2
2024-02-01,Queensland,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$5900.00,3
