StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2021-08-01,Tasmania,Text message,25 - 34,Male,Attempts to gain your personal information,Phishing,$15.00,6
2021-09-01,Northern Territory,Text message,25 - 34,Male,Attempts to gain your personal information,Phishing,$846.00,4
2021-09-01,Tasmania,Phone call,35 - 44,Female,Attempts to gain your personal information,Phishing,$500.00,7
2021-07-01,Outside of Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,$200.00,4
2021-09-01,Queensland,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$570.00,5
2021-08-01,New South Wales,Mobile apps,25 - 34,Female,Attempts to gain your personal information,Phishing,$80.00,3
2021-08-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Phishing,$40000.00,5
2021-08-01,New South Wales,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Phishing,$250.00,7
2021-09-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$2640.00,3
2021-07-01,New South Wales,Internet,25 - 34,Female,Attempts to gain your personal information,Phishing,$635.00,3
2021-07-01,New South Wales,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$2500.00,2
2021-08-01,New South Wales,Internet,55 - 64,Female,Attempts to gain your personal information,Phishing,$14.00,2
2021-07-01,New South Wales,Internet,Unspecified,Male,Attempts to gain your personal information,Phishing,$80.00,3
2021-08-01,New South Wales,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$2000.00,3
2021-08-01,New South Wales,Internet,55 - 64,Male,Attempts to gain your personal information,Phishing,$1463.00,2
2021-07-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$500.00,2
2021-08-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$80.00,3
2021-08-01,New South Wales,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Phishing,$100.00,3
2021-09-01,New South Wales,Social media/Online forums,18 - 24,Female,Attempts to gain your personal information,Phishing,$1025.00,2
2021-08-01,New South Wales,Social media/Online forums,25 - 34,Male,Attempts to gain your personal information,Phishing,$55.00,2
2021-08-01,New South Wales,Social media/Online forums,45 - 54,Male,Attempts to gain your personal information,Phishing,$180000.00,2
2021-07-01,Victoria,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$66.00,2
2021-09-01,Victoria,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$8000.00,3
2021-07-01,Queensland,Internet,25 - 34,Male,Attempts to gain your personal information,Phishing,$21.00,2
2021-09-01,Queensland,Internet,25 - 34,Female,Attempts to gain your personal information,Phishing,$633.00,2
2021-09-01,Outside of Australia,Internet,35 - 44,Female,Attempts to gain your personal information,Phishing,$500.00,2
2021-08-01,Queensland,In person,Unspecified,Female,Attempts to gain your personal information,Identity theft,$3000.00,2
2021-09-01,Victoria,In person,35 - 44,Male,Attempts to gain your personal information,Identity theft,$40000.00,2
2021-08-01,New South Wales,In person,45 - 54,Male,Attempts to gain your personal information,Identity theft,$8000.00,2
2021-07-01,New South Wales,In person,35 - 44,Female,Attempts to gain your personal information,Identity theft,$5300.00,3
2021-09-01,New South Wales,In person,25 - 34,Female,Attempts to gain your personal information,Identity theft,$30000.00,2
2021-08-01,Victoria,Mail,25 - 34,Female,Attempts to gain your personal information,Identity theft,$1.00,3
2021-07-01,New South Wales,Mail,25 - 34,Male,Attempts to gain your personal information,Identity theft,$38000.00,3
2021-07-01,Victoria,Mobile apps,25 - 34,Female,Attempts to gain your personal information,Identity theft,$133.00,2
2021-08-01,Victoria,Mobile apps,45 - 54,Female,Attempts to gain your personal information,Identity theft,$6000.00,2
2021-09-01,Victoria,Mobile apps,18 - 24,Female,Attempts to gain your personal information,Identity theft,$850.00,2
2021-09-01,Victoria,Mobile apps,65 and over,Female,Attempts to gain your personal information,Identity theft,$2500.00,2
2021-07-01,Victoria,Mobile apps,18 - 24,Male,Attempts to gain your personal information,Identity theft,$2700.00,2
2021-07-01,Queensland,Mobile apps,45 - 54,Male,Attempts to gain your personal information,Identity theft,$350.00,3
2021-07-01,Western Australia,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Identity theft,$20.00,2
2021-09-01,South Australia,Mobile apps,45 - 54,Male,Attempts to gain your personal information,Identity theft,$1740.00,2
2021-07-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Identity theft,$6500.00,2
2021-08-01,New South Wales,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Identity theft,$5500.00,3
2021-08-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Identity theft,$3350.00,2
2021-09-01,New South Wales,Mobile apps,55 - 64,Male,Attempts to gain your personal information,Identity theft,$77900.00,2
2021-09-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Identity theft,$2500.00,2
2021-07-01,New South Wales,Mobile apps,35 - 44,Female,Attempts to gain your personal information,Identity theft,$6200.00,5
2021-07-01,New South Wales,Mobile apps,45 - 54,Female,Attempts to gain your personal information,Identity theft,$5729.00,2
2021-09-01,New South Wales,Mobile apps,45 - 54,Female,Attempts to gain your personal information,Identity theft,$817.00,2
2021-09-01,Queensland,Social media/Online forums,55 - 64,Female,Attempts to gain your personal information,Identity theft,$5000.00,2
2021-09-01,South Australia,Social media/Online forums,55 - 64,Female,Attempts to gain your personal information,Identity theft,$7000.00,2
2021-09-01,Victoria,Social media/Online forums,45 - 54,Male,Attempts to gain your personal information,Identity theft,$800.00,2
2021-09-01,Victoria,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Identity theft,$457.00,3
2021-07-01,Victoria,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Identity theft,$400.00,2
2021-08-01,New South Wales,Social media/Online forums,18 - 24,Male,Attempts to gain your personal information,Identity theft,$450.00,2
2021-07-01,New South Wales,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Identity theft,$3510.00,5
2021-08-01,Victoria,Internet,Unspecified,Male,Attempts to gain your personal information,Identity theft,$800000.00,2
2021-07-01,Victoria,Internet,35 - 44,Male,Attempts to gain your personal information,Identity theft,$650.00,5
2021-07-01,Victoria,Internet,55 - 64,Male,Attempts to gain your personal information,Identity theft,$550.00,2
2021-08-01,Victoria,Internet,25 - 34,Male,Attempts to gain your personal information,Identity theft,$250.00,2
2021-09-01,Victoria,Internet,45 - 54,Male,Attempts to gain your personal information,Identity theft,$28.00,3
2021-09-01,Victoria,Internet,55 - 64,Male,Attempts to gain your personal information,Identity theft,$64.00,3
2021-09-01,Victoria,Internet,35 - 44,Male,Attempts to gain your personal information,Identity theft,$3768.00,3
2021-07-01,Victoria,Internet,18 - 24,Female,Attempts to gain your personal information,Identity theft,$200.00,2
2021-07-01,Victoria,Internet,65 and over,Female,Attempts to gain your personal information,Identity theft,$999.00,2
