StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2020-11-01,New South Wales,Text message,Under 18,Female,Attempts to gain your personal information,Phishing,$1.00,2
2020-08-01,Outside of Australia,Text message,Unspecified,Male,Attempts to gain your personal information,Phishing,$100.00,2
2020-11-01,Outside of Australia,Text message,18 - 24,Female,Attempts to gain your personal information,Phishing,$2.00,2
2020-12-01,Outside of Australia,Phone call,25 - 34,Female,Attempts to gain your personal information,Phishing,$1290.00,2
2020-12-01,Tasmania,Phone call,45 - 54,Male,Attempts to gain your personal information,Phishing,$9400.00,3
2020-10-01,Tasmania,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,$500.00,2
2020-08-01,Western Australia,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,$100.00,3
2020-11-01,Outside of Australia,Email,35 - 44,Male,Attempts to gain your personal information,Phishing,$1000.00,2
2020-07-01,Outside of Australia,Email,35 - 44,Female,Attempts to gain your personal information,Phishing,$400.00,2
2020-08-01,Outside of Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,$35.00,2
2020-11-01,South Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,$700.00,6
2020-10-01,South Australia,Email,25 - 34,Female,Attempts to gain your personal information,Phishing,$1900.00,3
2020-12-01,South Australia,Email,25 - 34,Female,Attempts to gain your personal information,Phishing,$1000.00,3
2020-07-01,Western Australia,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$580.00,2
2020-10-01,Western Australia,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$900.00,3
2020-07-01,Queensland,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$950.00,3
2020-10-01,Queensland,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$1761.00,3
2020-12-01,Queensland,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$550.00,4
2020-09-01,Australian Capital Territory,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$1797.00,3
2020-12-01,New South Wales,Internet,18 - 24,Female,Attempts to gain your personal information,Phishing,$100.00,2
2020-12-01,New South Wales,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$46.00,3
2020-08-01,New South Wales,Internet,Unspecified,Female,Attempts to gain your personal information,Phishing,$700.00,2
2020-09-01,New South Wales,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$189.00,2
2020-08-01,New South Wales,Social media/Online forums,18 - 24,Female,Attempts to gain your personal information,Phishing,$80.00,2
2020-08-01,Victoria,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Phishing,$60.00,2
2020-11-01,Victoria,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$50000.00,2
2020-07-01,Victoria,Internet,45 - 54,Female,Attempts to gain your personal information,Phishing,$376.00,2
2020-07-01,Victoria,Internet,35 - 44,Female,Attempts to gain your personal information,Phishing,$160.00,2
2020-08-01,Victoria,Internet,25 - 34,Male,Attempts to gain your personal information,Phishing,$1000.00,2
2020-11-01,Victoria,Internet,18 - 24,Male,Attempts to gain your personal information,Phishing,$200.00,2
2020-10-01,Victoria,Mobile apps,Unspecified,Male,Attempts to gain your personal information,Phishing,$100000.00,2
2020-08-01,Victoria,Mobile apps,18 - 24,Female,Attempts to gain your personal information,Phishing,$1500.00,2
2020-12-01,Queensland,Internet,18 - 24,Male,Attempts to gain your personal information,Phishing,$5133.00,2
2020-08-01,Queensland,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Phishing,$5.00,2
2020-09-01,Queensland,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$200.00,3
2020-07-01,Queensland,Social media/Online forums,25 - 34,Male,Attempts to gain your personal information,Phishing,$300.00,2
2020-09-01,Queensland,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Phishing,$170.00,2
2020-11-01,Queensland,Mail,65 and over,Male,Attempts to gain your personal information,Phishing,$200.00,2
2020-07-01,Western Australia,Internet,45 - 54,Male,Attempts to gain your personal information,Phishing,$160.00,2
2020-08-01,Outside of Australia,Mobile apps,Unspecified,Male,Attempts to gain your personal information,Phishing,$300.00,2
2020-10-01,Outside of Australia,Mobile apps,Unspecified,Male,Attempts to gain your personal information,Phishing,$3000.00,2
2020-07-01,Outside of Australia,Internet,18 - 24,Female,Attempts to gain your personal information,Phishing,$495.00,3
2020-10-01,Outside of Australia,Internet,25 - 34,Male,Attempts to gain your personal information,Phishing,$1200.00,3
2020-09-01,Victoria,In person,35 - 44,Female,Attempts to gain your personal information,Identity theft,$38000.00,2
2020-08-01,Victoria,In person,25 - 34,Male,Attempts to gain your personal information,Identity theft,$5000.00,2
2020-08-01,New South Wales,In person,35 - 44,Male,Attempts to gain your personal information,Identity theft,$1700.00,3
2020-10-01,New South Wales,In person,25 - 34,Female,Attempts to gain your personal information,Identity theft,$9000.00,2
2020-07-01,Victoria,Mail,25 - 34,Male,Attempts to gain your personal information,Identity theft,$3960.00,3
2020-08-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Identity theft,$2000.00,3
2020-09-01,New South Wales,Mobile apps,18 - 24,Male,Attempts to gain your personal information,Identity theft,$7500.00,2
2020-10-01,New South Wales,Mobile apps,18 - 24,Male,Attempts to gain your personal information,Identity theft,$110.00,2
2020-12-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Identity theft,$4938.00,4
2020-10-01,New South Wales,Mobile apps,25 - 34,Female,Attempts to gain your personal information,Identity theft,$5000.00,2
2020-08-01,Queensland,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Identity theft,$137.00,2
2020-08-01,Queensland,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Identity theft,$889.00,2
2020-11-01,Victoria,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Identity theft,$2000.00,4
2020-11-01,Victoria,Social media/Online forums,Unspecified,Female,Attempts to gain your personal information,Identity theft,$276.00,2
2020-09-01,Victoria,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Identity theft,$577.00,3
2020-10-01,New South Wales,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Identity theft,$400.00,2
2020-10-01,New South Wales,Social media/Online forums,45 - 54,Female,Attempts to gain your personal information,Identity theft,$246.00,3
2020-08-01,Victoria,Internet,Unspecified,Male,Attempts to gain your personal information,Identity theft,$750.00,4
2020-07-01,Victoria,Internet,35 - 44,Male,Attempts to gain your personal information,Identity theft,$450.00,2
2020-08-01,Victoria,Internet,25 - 34,Male,Attempts to gain your personal information,Identity theft,$160.00,5
2020-08-01,Victoria,Internet,45 - 54,Male,Attempts to gain your personal information,Identity theft,$85000.00,2
2020-09-01,Victoria,Internet,25 - 34,Male,Attempts to gain your personal information,Identity theft,$77.00,2
2020-12-01,Victoria,Internet,35 - 44,Male,Attempts to gain your personal information,Identity theft,$18820.00,2
2020-07-01,Victoria,Internet,Unspecified,Female,Attempts to gain your personal information,Identity theft,$387.00,2
2020-08-01,Victoria,Internet,55 - 64,Female,Attempts to gain your personal information,Identity theft,$29250.00,4
