StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2021-02-01,New South Wales,Text message,Under 18,Male,Attempts to gain your personal information,Phishing,$5300.00,2
2021-03-01,New South Wales,Text message,Under 18,Male,Attempts to gain your personal information,Phishing,$200.00,3
2021-01-01,Outside of Australia,Phone call,25 - 34,Male,Attempts to gain your personal information,Phishing,$1000.00,2
2021-05-01,Tasmania,Phone call,55 - 64,Male,Attempts to gain your personal information,Phishing,$6000.00,3
2021-04-01,South Australia,Phone call,35 - 44,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,$800.00,2
2021-05-01,Queensland,Phone call,45 - 54,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,$1100000.00,2
2021-06-01,Outside of Australia,Email,35 - 44,Female,Attempts to gain your personal information,Phishing,$60.00,4
2021-06-01,Victoria,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$3410.00,4
2021-03-01,Queensland,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$2032.00,4
2021-06-01,Queensland,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$900.00,3
2021-05-01,New South Wales,Mobile apps,45 - 54,Male,Attempts to gain your personal information,Phishing,$14000.00,2
2021-05-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Phishing,$1514.00,3
2021-02-01,New South Wales,Internet,35 - 44,Female,Attempts to gain your personal information,Phishing,$5580.00,3
2021-03-01,New South Wales,Internet,35 - 44,Female,Attempts to gain your personal information,Phishing,$99.00,2
2021-04-01,New South Wales,Internet,55 - 64,Female,Attempts to gain your personal information,Phishing,$189.00,2
2021-06-01,New South Wales,Internet,Unspecified,Female,Attempts to gain your personal information,Phishing,$384.00,5
2021-01-01,New South Wales,Internet,18 - 24,Male,Attempts to gain your personal information,Phishing,$99.00,2
2021-02-01,New South Wales,Internet,Unspecified,Male,Attempts to gain your personal information,Phishing,$29.00,2
2021-04-01,New South Wales,Internet,Unspecified,Male,Attempts to gain your personal information,Phishing,$10000.00,3
2021-02-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$251.00,4
2021-03-01,New South Wales,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$3000.00,4
2021-05-01,New South Wales,Social media/Online forums,25 - 34,Male,Attempts to gain your personal information,Phishing,$70.00,5
2021-03-01,Victoria,In person,25 - 34,Male,Attempts to gain your personal information,Phishing,$4080.00,2
2021-01-01,Victoria,Internet,25 - 34,Female,Attempts to gain your personal information,Phishing,$450.00,2
2021-02-01,Victoria,Internet,Unspecified,Female,Attempts to gain your personal information,Phishing,$98.00,3
2021-04-01,Victoria,Internet,45 - 54,Female,Attempts to gain your personal information,Phishing,$35.00,2
2021-06-01,Victoria,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$514.00,2
2021-01-01,Victoria,Internet,55 - 64,Male,Attempts to gain your personal information,Phishing,$5000.00,2
2021-06-01,Victoria,Mobile apps,25 - 34,Female,Attempts to gain your personal information,Phishing,$641.00,3
2021-02-01,Queensland,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$952.00,2
2021-05-01,Queensland,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$999.00,2
2021-06-01,Queensland,Social media/Online forums,18 - 24,Female,Attempts to gain your personal information,Phishing,$356.00,2
2021-01-01,Queensland,Social media/Online forums,18 - 24,Male,Attempts to gain your personal information,Phishing,$200.00,2
2021-03-01,Queensland,Social media/Online forums,45 - 54,Male,Attempts to gain your personal information,Phishing,$128.00,2
2021-02-01,Western Australia,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Phishing,$3440.00,2
2021-03-01,Western Australia,Mobile apps,45 - 54,Male,Attempts to gain your personal information,Phishing,$40000.00,2
2021-05-01,Western Australia,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Phishing,$925.00,2
2021-01-01,Outside of Australia,Mobile apps,18 - 24,Male,Attempts to gain your personal information,Phishing,$25779.00,2
2021-01-01,Outside of Australia,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$500.00,2
2021-04-01,Outside of Australia,Internet,18 - 24,Male,Attempts to gain your personal information,Phishing,$500.00,2
2021-06-01,Outside of Australia,Internet,25 - 34,Male,Attempts to gain your personal information,Phishing,$1250.00,3
2021-06-01,Outside of Australia,Internet,45 - 54,Male,Attempts to gain your personal information,Phishing,$126.00,2
